house_uuid;type
12e36780-20b9-4880-98f5-28c7685f8fe8;1
c36fe625-0b01-4ebb-be07-ad0b44d2b93a;1
5a12109a-c750-4117-9e2a-b2539798ed90;1
7d6820ee-8954-4171-937e-41b296d90fa1;1
0d8f3a15-193c-4730-b8e4-4b59bfc80630;1
889bf612-c42a-4e63-8ece-d300426b280e;1
eaec6b97-26f4-4bd3-9031-4076c320acba;1
f0346631-4837-45af-a3e3-b5966e335334;1
0ecd6cd0-298e-43ce-805f-f7e9c8137067;1
d193b080-fc7d-4746-ab2a-62a94beb16ca;1
c135d6be-f41f-43f0-826f-1e74e246d060;1
1098f9aa-cdc4-4fe8-8a7b-ad7534f27a5c;1
bddd0f9e-4c1f-4b54-b63e-d7971dc64e96;1
70d7f734-83f5-4fee-9131-bdc8809068cc;1
3b3c78d9-3db3-44b0-9a4b-2bd6148d7ae1;1
68353e9d-abb5-413f-8af5-f776821743e0;1
02e4db76-5511-4f3a-8560-0b94122a97a9;1
295eae95-c895-4763-9a5a-c628fb141daa;1
303f609f-ff86-4325-8073-c5240f6924d3;1
db0e18cf-b3c1-4c28-9330-5c201b37c10b;1
1d680c57-3cf6-4c62-b66a-f564c9c017fe;1
54c55e60-0a38-4ff1-ac76-a8d55e1d0d95;1
d94afd86-3e5d-4b6a-bc8a-38c16c8392ec;1
61896bc7-5277-4af5-9f77-128124b9d339;1
8e3f8dee-776d-45e9-a333-d17b2d6a753d;1
54922a58-9798-497a-b6ec-9b903b9e55c9;1
ee79f577-f8da-42bd-9dda-695f80f5ff55;1
2715f124-8af6-4a5d-8eb9-a55ba56ba1ce;1
2b42360b-a1e3-4417-bffc-b1fa02b29993;1
ca487e6d-bf05-43a6-9573-b09f0cfa8b71;2
184ba7a4-db8d-4f56-80ea-687f76f57355;1
86748380-1c36-46f9-9751-6c149e8a438a;1
35c70876-4677-4c80-bf02-c38718d5442b;1
7da2f44c-e379-4997-a591-e285990be525;1
18a1318a-e761-466f-8b2c-9f5d35965857;1
1fcb207c-4871-40c4-bb6a-8acd38058ebc;1
0c219929-7cd8-4e70-9cea-b6057f7794de;1
72f6724f-7924-4bfe-95bf-7aa3cdf1c671;1
e32003d6-b633-43bc-a356-fddf1f5bcdf1;1
d50edd23-77ff-4e1c-9a1c-bd7c70d82ec4;1
1e85c564-3edb-4ea0-a0ad-ebe46fae25f8;1
4d212774-eba8-420a-bd2e-c2c955aea34e;1
779cc664-d9d4-458d-a4e0-7821b05658b2;1
cf01697b-f5b5-4ad1-b45e-50504f4265d7;1
c2bd948f-9435-4827-a5ea-6efe06eb2996;1
c4b18977-5d7d-44ef-91fa-a13c50eb1ce8;1
c8e4e3c5-2a65-48cb-9348-051b92469fa0;1
b49534bb-4768-4c1e-a77c-0dbd0e79e180;1
9bb1ab9d-8732-45af-97fc-db99fdee1dbb;1
46c8fa1f-2b54-42b9-a650-dd74197d6c5a;1
c9206c07-6197-4815-843e-71a8c73ecc01;1
e52f1891-9c4b-49af-bd13-a67f6f663412;1
ef4f42d5-61f3-4633-a606-e5bf42fd4ddd;1
cc78a608-1ed4-41c9-92da-3749015960e2;1
6a2ec711-d12c-4e57-87e1-cbcbf8c55eed;1
6125aff4-ff66-4681-97f0-ac21cfa773c7;1
d0a9136a-ec83-4a18-b4e9-a931d6b7ca82;1
1e101d6f-3d8d-483b-ba3b-fbfb39dd6990;1
de2655d6-fa12-4ec5-8f35-4df9f9ac05d7;1
b59c9dae-dad5-42a4-b73b-b6a95d6437e6;1
15a8c6e0-04f9-4c0c-b8c6-16789bd850f2;1
4377c005-ca9f-4aaa-bd3f-d7c3b4d18255;1
f34da6b0-931d-4eb6-a7bd-77034ea60c73;1
6ee4f264-1104-44bb-82f5-e08a309296a1;1
2212fe74-7e33-4225-9bb8-b6e219eaac87;1
7918aad3-1225-4db9-886d-631b2bfd425c;1
384f0a13-9330-496e-b638-99e8eebba577;1
9bbccc21-6e77-4223-a68e-620ad2d28dce;1
9b17298c-85e6-4f46-81b6-52d3c49a54f5;1
b9573278-2030-443c-9882-a2f6b8ae3250;1
a83b3b16-f362-4887-a342-82ea0e360a9f;1
78236d08-a8c7-4811-8897-31b38bb18457;1
66379eb4-3b08-423a-825d-814e4bb2713a;1
38f5af36-cfae-4bf2-acd1-19d07fefabdd;1
dbc6b698-1ec3-4e15-8a32-0402e431159d;1
8d69892f-c49d-40bd-a7ef-95548ba78017;1
b458c75c-909c-4a76-a73f-e4e3722618b6;1
a316843a-110c-4f10-a77c-153e912ce043;1
b571dc40-9af2-4825-9e83-bd768a509825;1
cc692d5e-7fc8-4393-ba21-7f96b2ac3af4;1
19540693-d709-451b-a67c-e0174bdc8f9c;1
e8da5617-f4bd-4788-977c-ad6a6aeee5f7;1
82f277e3-7e5d-4d2a-9c9b-344b3dffdadb;1
e62c48e3-97d5-4c83-b395-da3c5f159066;1
b488ac94-029d-417b-b0e4-406375a75510;1
6801e57d-be96-4e22-b57e-a97d2607d4f3;2
f1b23705-1507-4eb0-8287-41db4d7d61de;1
76d3d6f2-6a90-437c-b8f6-d5d3b3a33864;1
51876c18-d9c2-4b91-b2cf-633e57f73f5c;1
6217cd6e-e67c-4df3-b5a9-07152d9f49cd;1
4144847e-b2b4-4cf4-afd7-ae1881677665;1
0f7a2a1d-1603-4ac9-987d-265ccaf558e5;1
85613c38-2df0-4070-92b4-b859bd38c6ac;1
c1e14597-1c99-4d8e-a646-b15e465a96bd;1
c77d454b-6f18-4176-8e17-2c51fa957fe3;1
650607cd-5be4-4854-8e8f-4a0a46092ade;1
c20d44b1-835d-4fba-8daa-3279c7df446e;1
89146246-170b-4d8c-bd82-261d6fde63af;2
3128ae2f-f25d-4bc9-93d4-91f4763d3adc;1
ebecdfa8-76a1-4af2-b2a8-66c7979c13f6;1
3af705de-c4d5-458e-83b3-ca25ca9ea158;2
60a2d607-679d-4e32-a8f5-a62696f6def4;1
d7355d34-9ef2-4c06-b696-1017a0c7b0a9;1
a09ab085-ad28-4bcb-aff2-bf1f96962345;1
0c41bfd1-ed0b-4982-b0c0-ac689fa75ab4;2
a359f72b-b8df-47a1-9cc2-79bbedb73990;1
585d4c53-46ad-40c7-88c5-33d9a32b66b6;1
8c3d170a-e781-49d1-87a1-513003d06dd0;2
7d9f1cb9-4eb7-481a-80b7-6b62a321fa9f;1
74f563f7-94db-41a4-92a0-a79827883b79;1
daf5a5a3-41cb-444b-a753-b8d1082a7a0d;2
23748e3e-863c-4438-bc5d-212555f90d74;1
920d8dea-5f35-4b0f-85f1-79143158947a;1
e81dec20-006e-4501-9be8-76d40129f2dc;1
f40e9dd3-8bd7-4ca5-bf71-ac73b460e6c8;1
cff8b77d-281e-4c8a-92f7-97eeda370859;1
fe94a561-a504-4323-a6e2-ae5e0cf8cd07;2
963c2bb8-31e2-499c-9dfd-506e057fac4f;1
6b6bf037-6167-4d27-847e-fb6904cffb2c;1
ecbeabce-175a-43ea-8aad-79c067919d00;1
48ce1549-dada-46d0-977e-6e37d584f75f;1
4dec84cd-2e19-401f-aca8-c6bbc27268b4;1
c85d2053-9844-4762-97cc-fbfce70624e7;1
ecc0aff3-1b12-43a5-a0da-acaeca4029d7;1
b9df351f-597b-417d-96e6-61cd0bbc9998;1
f195ee9b-f109-4f44-a588-65693b62de4c;2
a0202bbb-5de2-4dd8-87bf-92e81d3490fa;1
c700679d-c826-448c-9bd0-9685c7784432;1
c76de911-22d0-48c5-b11a-cf4dcadcbdef;1
9cfbacfe-f925-4560-aaab-d16eb4242ee9;1
76c0a500-dbfb-4843-89f6-8885f74ea98e;1
c8cb993f-129e-4c68-8396-53a1c266e948;1
d5644f92-3c73-48e2-8021-07a93cd0f32a;1
5dcde5ca-216b-4914-9651-b6461b806f43;1
5b9a9aa0-f183-4773-a5c3-9a2028d27dd0;1
add32259-cccb-4370-b892-2109c536b40b;1
a52af7da-53bb-4349-b0d3-c6afe4d3d536;1
29e56149-a321-42a0-a5b3-9c2729a02128;1
ebeb1a45-386b-49d4-ba32-06e3d296c84a;1
15074a2f-4f40-4184-a126-4f52ce5f436c;1
4f10d0be-90de-4c35-b029-e0a5adb40615;1
c8bc9f3c-1eae-4eff-b5cd-7a6765216e7c;1
e7b93318-a879-4922-8658-f442f311ef10;1
78f4ba40-6e52-41c9-9e3a-ea3b6a49b33a;1
bdd3ac61-c9f5-4735-bc54-7348df2f6b58;1
00266e5f-32e4-4352-b276-2f4f13a3a2dc;1
5afdaff7-8e1a-4552-80cf-c08a6354be7f;1
ebd8b95e-5e24-48be-a4b1-68cca3f78ae1;2
bb01cb68-b8cd-46d7-9bcf-3340e493aff2;1
ed03c67b-a809-4237-aedc-91e7554e4f5c;1
3fefbf2e-3493-42a3-99b7-a3f03af51cd9;1
723e5009-1da6-402a-ae3a-8a6dbc74e99e;1
28ebe1be-4a84-4731-a44c-748d287cf44c;1
b1154093-ab2b-4b50-92e8-5e7d47abfb03;1
7056f31e-239d-481b-8202-2e2fc1bbc168;2
0ece0625-7560-4cd8-8b6a-1a4e0a8c0e8c;2
c35d51b7-3017-4c20-a8c4-cbe8434bb9ea;1
974c1f58-c93a-4af4-9720-ac11339fab91;1
021eb1f0-e999-47a3-9c91-092fbe2320d9;1
d554a940-8941-4e91-94fd-3f1d2feb5599;1
f1eacb23-13a6-42c6-b3ed-86458b0bfa60;1
67645bd3-3441-41a3-95e3-af8458284ea0;1
d5e679b9-a84a-4b02-813c-3a6ac6255bc9;2
06d1b329-359f-4098-8f16-323af62503bb;1
ed93aed9-70e7-4d39-9b5a-23b40a9ca92c;1
00c22f73-5fd6-43bd-a49f-33ef5d100a6e;1
3651079c-39a7-41a3-a0d3-a431cbd21248;2
1f5326bc-d807-4d5d-94ac-51d08faca611;1
f9f871c9-2443-44ab-aa50-269c85071aa8;1
29f91814-9b76-4e39-a45d-a871bd16b86d;1
5f99c8c3-2b06-4be2-905b-a61adc5cebdb;1
47d699fd-807c-4576-a32d-75d70b79dca6;2
6b1b1f73-2806-41c1-8996-1b9d6e944779;2
661bfb98-34fc-4ce0-9a7b-1afda7861ed8;1
e996b519-22db-4283-8cae-6eed4ba9f7ad;2
7838dd2a-7a9c-464c-9841-1edefedf7748;2
a6ff338e-a943-4772-9825-1afc26592742;1
cef08f20-547e-417d-a4a4-c0dd56112c84;1
091eb495-2746-48d5-813c-3fc06db92e71;1
0dc87d87-3352-4a98-a66a-d6426377ceee;2
0481380b-9855-406b-ab28-7a9fc7b2fbd2;1
861268d6-9e89-415b-a7fa-2b5994913b2f;1
ba3dd760-b41a-44ea-af37-301f173ddc26;1
ef9e9817-c882-4336-9624-a8d3062867d8;1
a6faf727-5e39-49aa-b49a-3b74391a0aa8;2
31b1c683-4f9d-4b83-9859-317d128172af;2
06e6127f-efd1-432d-807c-dcc5609cbb91;1
a546a067-258b-44d9-9af3-fdfa7e480fb9;1
bc5315b9-d689-4906-876e-651f6591c5f6;1
d7afea65-217c-445b-a819-e1bfdc3332b0;1
009e6d8a-d6da-43eb-aae3-427a099072ed;2
e630c065-558e-4de9-bd73-b053f7b3101f;1
1711ec52-967c-4784-bb03-d03d1a02773d;2
79740951-329d-45ce-9b8d-3d513a04069b;2
60fc0017-8931-47e3-b939-c96670c9e13c;1
b236e803-9e13-46d5-b13c-0611b6a26281;1
00c0fedc-8e57-4428-9fbe-fe68a010be89;1
6a2621c2-c5ff-4817-9091-6e22872702a9;2
1047b26c-6a3c-4706-8219-cc6a280600d3;1
975a3aa0-677f-4660-8a1b-e9f1d82dc448;2
fe8de75d-7da8-4f14-8b6d-0032ecbbd63a;1
1cb9c355-a89e-422d-a18b-1e928b62b97d;1
6a8020ed-1b6f-468f-bd62-ec23e4fb56a8;1
9f473761-e0f2-44d2-bf30-074c945d63b8;1
d9c22690-ee18-466d-8c86-07b421ec6076;2
0bb9e734-866e-406b-8f38-d51e4a08ee16;2
011f3305-fe61-441c-966e-7f5b87a787a5;1
937f4481-0f0f-4dc5-aef9-9592b3175d01;1
8fe888fb-e532-486c-a0af-851248b11b51;2
d9a889a3-5b57-4edc-a432-eade83de88a0;1
6ffcd9fc-77b8-4486-a15c-8c25f1c395d5;1
add32259-cccb-4370-b892-2109c536b40b;2
9fb86ae1-c8cf-40b7-a12a-1ef43ebd8501;1
baee5d08-a852-4c3d-bfed-75499b182b41;2
2c99f915-4588-4ff9-b4c6-cd7c2e671109;1
31f4d815-faad-4c00-8ebe-67fc441b2846;2
5749b262-1007-43f1-b1ef-8ffd435899c8;2
f761fc89-2158-44d5-8d1c-1b6189e2f527;2
34330120-e53b-4b55-b8de-7cb59605f930;2
01d8f4d0-2af1-4776-83fe-1eaaf23bb48f;2
a116e01f-9d9c-4d01-952b-16fb111cef4a;1
76caa471-7eb7-431d-a89d-ede73c96e059;1
f60e041b-5cce-49ea-bb43-f2bcaa50368d;2
4339ddf8-9f20-4f3e-96b6-d2ef85a3b3fd;2
87163370-d773-4917-b6b6-a2dbc635b16e;1
d04c8886-4851-40de-8d90-6fee62f56257;2
94d0890a-f7dd-4dae-ab17-58941df0d972;1
264d6aae-cb9e-48aa-8af4-f2e4a2594c39;2
63676d59-98f3-40be-b561-9af2c25b6914;1
17793354-dc16-4cbc-bf03-2125f8b53202;2
1c0020eb-8db3-466e-9081-bb310d161e97;2
ea268221-9a7b-4d44-a954-37052f3afba8;2
63f65c84-f437-4e02-b65f-21c0ce77f706;1
b59f9221-3ec9-48f5-8984-76498cfc5651;1
012ea833-d2a0-46a3-a162-dab589528c35;1
396fac6e-c02d-41dc-b541-de38b6ab3956;1
6ad4b03a-c6aa-4d78-87f7-18b94d589a55;2
c4d88606-de58-4c3d-8182-a9af41fce3a8;1
5831d85d-aa40-4d5c-ae8e-f6dc3af591f2;1
5d9eb845-7a1f-455d-90d4-b0dcb3d7b1d4;2
baee5d08-a852-4c3d-bfed-75499b182b41;2
72a5622e-1e4c-4cee-91f9-8356adbb38e0;1
e4b566f6-651e-4af0-963f-e0dcb0b00a28;2
696a25fa-6019-4133-9133-c592ffc429be;1
f767e1e5-46f4-47c0-9d2d-b4e3906ad6c5;1
f2a7fd60-bba0-4597-9a98-69f623f728e4;1
121747fc-23a1-4d36-a7d3-51dda5511aef;1
18fba5c1-85ac-49b7-8e6e-706e5373c98d;2
7f00ec6f-3358-45cf-adf6-bb435ebca938;1
b899bba8-50cf-4022-802b-38a015a8535d;1
b2a3d171-84fd-4e9c-bc26-4f83bcbfe0c8;1
